,title_id,title,start_year,genres,category,averagerating,numvotes,primary_name,known_for_titles,number_of_movies
11931,tt4169716,Missing People,2015,"Biography,Crime,Documentary",actress,6.7,30,Martina Batan,"['tt1660362', 'tt0096909', 'tt4169716']",3
11932,tt4188436,Dixieland,2015,"Crime,Drama",actor,5.3,1026,Chris Zylka,"['tt0948470', 'tt1714203', 'tt1523483', 'tt1633356']",4
11933,tt4621832,Succulent & Savory,2016,"Comedy,Drama,Romance",actor,6.7,6,Ricky Whittle,"['tt1898069', 'tt0112004', 'tt0364845', 'tt1985019']",4
11934,tt4637832,Bigfoot the Movie,2015,Comedy,actor,5.8,134,Curt Wootton,"['tt4637832', 'tt6660148', 'tt7155914', 'tt6456786']",4
11935,tt4660950,Gehenna: Darkness Unleashed,2015,Horror,actor,5.4,11,W. Keith Scott,"['tt7906116', 'tt2477218', 'tt1856010', 'tt3726058']",4
11936,tt4685940,Discarnate,2018,"Horror,Thriller",actor,4.1,348,Thomas Kretschmann,"['tt0318627', 'tt0360717', 'tt0187738', 'tt0493464']",4
11937,tt4738776,Half Magic,2018,"Comedy,Romance",actress,4.6,910,Heather Graham,"['tt0145660', 'tt0120681', 'tt0118749', 'tt0131325']",4
11938,tt4789670,Gumshoe!,2018,Comedy,actor,5.7,22,Arnie Pantoja,"['tt2953290', 'tt1104733', 'tt2826626', 'tt0815244']",4
11939,tt4809482,Love's Labour's Lost,2017,"Comedy,Drama,Romance",actor,6.9,9,Patrick O'Hare,['tt4809482'],1
11940,tt4817008,A Fancy Piece of Homicide,2017,"Crime,Mystery,Thriller",actor,5.0,49,Rik Billock,"['tt0109809', 'tt0254284', 'tt2112938', 'tt0106664']",4
11941,tt4820708,Plan X,2015,Comedy,actor,7.9,10,David Auffant,"['tt4820708', 'tt6640000']",2
11942,tt4875652,Money Back Guarantee,2016,"Drama,Thriller",actor,5.2,20,John Archer Lundgren,"['tt3533706', 'tt4687654', 'tt1345904', 'tt3918784']",4
11943,tt4891592,"Omaha Beach, Honor and Sacrifice",2014,"Documentary,War",actor,8.0,7,Tim McCarver,"['tt1210166', 'tt0131857', 'tt0095705', 'tt0332047']",4
11944,tt4914282,He Sends Rain,2017,Drama,actor,7.4,12,Zachary Bortot,"['tt4914282', 'tt6943358']",2
11945,tt4914314,A Children's Song,2017,Drama,actor,8.3,10,Alexandre Chen,"['tt1409024', 'tt6628394', 'tt1190080', 'tt0418279']",4
11946,tt4916030,The Lake Drain,2015,"Drama,Fantasy,Sci-Fi",actor,6.8,13,Jerry Griffin,"['tt0096119', 'tt0164807', 'tt0203259', 'tt4916030']",4
11947,tt4919484,The Silent Treatment,2016,Drama,actor,6.7,6082,Greg Kinnear,"['tt0449059', 'tt0114319', 'tt0119822', 'tt0128853']",4
11948,tt4926320,Uphill Battle,2013,Family,actor,5.4,22,Bryce Bishop,"['tt1161418', 'tt6718788', 'tt1594917', 'tt3955808']",4
11949,tt4926656,In Critical Condition,2016,"Crime,Thriller",actor,4.0,32,Stephen Thomas Shore,"['tt5129582', 'tt2945552', 'tt4926656', 'tt9016014']",4
11950,tt4940528,Born Again,2015,Drama,actor,5.5,40,Peter Linka,"['tt3062096', 'tt0266987', 'tt3132738', 'tt3659388']",4
11951,tt5355706,The Man from Ruin,2016,"Drama,Sci-Fi",actor,8.6,8,Devanshu Agrawal,['tt5355706'],1
11952,tt5372452,The Million Dollar Duck,2016,Documentary,actor,7.9,41,Adam Grimm,['tt5372452'],1
11953,tt5462288,"Life Now, Life Then",2017,"Adventure,Drama",actor,6.4,528,Keidrich Sellati,"['tt1655444', 'tt2149175', 'tt5462288', 'tt0203259']",4
11954,tt5464242,Love All You Have Left,2017,Drama,actor,7.7,54,Michael Christopher Shantz,"['tt5464242', 'tt4182562']",2
11955,tt5571594,Impossible Dreamers,2016,Documentary,actor,7.5,18,Clément Lacroix,['tt2293138'],1
11956,tt5594970,Warwick,2016,Drama,actor,4.3,64,Douglas Reese,"['tt3681450', 'tt2151366', 'tt6599230', 'tt6893814']",4
11957,tt5603596,Ancient Secrets of Essential Oils,2016,Documentary,actor,5.5,6,Dr. Ganesh Bala,['tt5603596'],1
11958,tt5637736,Wraith,2017,"Horror,Mystery,Thriller",actor,3.5,408,Jackson Hurst,"['tt0884328', 'tt1280822', 'tt0896798', 'tt0448022']",4
11959,tt5664076,Arg Stairs,2017,"Adventure,Comedy",actor,4.2,19,Douglas Cathro,"['tt2450186', 'tt0427341', 'tt3981396', 'tt3271344']",4
11960,tt5667952,Star Man,2014,"Action,Adventure,Sci-Fi",actor,7.4,14,Mackenzie Clark,"['tt5658198', 'tt5667952', 'tt7625712', 'tt5688842']",4
11961,tt5669278,Violeta at last,2017,Drama,actor,7.1,47,Gustavo Sánchez Parra,"['tt1151923', 'tt0245712', 'tt0386140', 'tt1537401']",4
11962,tt6139764,Silicon Beach,2018,Drama,actor,9.2,26,Oliver Singer,"['tt6139764', 'tt3385186']",2
11963,tt6140792,Last Call,2016,Drama,actress,7.6,21,Kim Paris,"['tt6164248', 'tt6288296', 'tt5904552']",3
11964,tt6154710,die Expats,2018,Drama,actor,4.9,24,Luan Brandt,,0
11965,tt6221322,Reel Rock 11,2016,"Documentary,Sport",actor,8.5,59,Marc-Andre Leclerc,['tt6221322'],1
11966,tt6271806,Daddy Issues,2018,Drama,actor,3.8,349,Andrew Pifko,"['tt7075006', 'tt6271806', 'tt8690580', 'tt7042146']",4
11967,tt6296764,306 Hollywood,2018,Documentary,actress,7.0,88,Ruby Berube,"['tt6296764', 'tt2048823']",2
11968,tt6304978,The Undone,2017,Horror,actor,3.6,16,Justin Jackerson,"['tt5580390', 'tt8036816', 'tt6788644', 'tt9107680']",4
11969,tt6343706,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,"Comedy,Music,Musical",actor,6.7,1623,Michael Bolton,"['tt0094631', 'tt0483726', 'tt1470023', 'tt0119282']",4
11970,tt6350736,Pure White,2016,Drama,actor,7.1,29,Kaku Fukagawa,['tt6350736'],1
11971,tt6375006,Junior Chainz,2018,Romance,actor,6.5,6,Alex DeCourville,"['tt4667336', 'tt3860168', 'tt3578642', 'tt7962760']",4
11972,tt6388090,A Host of Sparrows,2018,Thriller,actor,5.4,42,Mike Sutton,"['tt6383268', 'tt8049902', 'tt6388090', 'tt6571088']",4
11973,tt6420312,Innerself,2018,"Action,Comedy,Musical",actor,8.7,12,Jason L. Wang,"['tt4020702', 'tt5809726', 'tt8272852', 'tt6420312']",4
11974,tt6436270,Christmas Time,2017,Comedy,actor,6.6,131,Maclain Nelson,"['tt4002772', 'tt6495094', 'tt2170369', 'tt9748306']",4
11975,tt6610158,Rust Creek,2018,"Drama,Horror,Thriller",actor,5.7,2733,Jeremy Glazer,"['tt5853176', 'tt0413573', 'tt6610158', 'tt1442437']",4
11976,tt6611130,Thor Ragnarok Documentary,2017,Documentary,actor,7.8,23,Philip Mateer,['tt6611130'],1
11977,tt6680050,Ulugh Beg: Through Hardships to the Stars,2017,Documentary,actor,9.2,14,Djavakhir Zakhirov,"['tt0204908', 'tt5348534', 'tt5636810', 'tt6680050']",4
11978,tt6765780,The Last Midnight,2016,"Adventure,Drama,Fantasy",actor,7.7,10,Gabriel Chavez,['tt6765780'],1
11979,tt6811222,Day & Night,2016,Music,actor,7.5,16,Johnny Orlando,"['tt6811222', 'tt0331314', 'tt8142318', 'tt1693039']",4
11980,tt6877562,Hurt,2018,"Horror,Thriller",actor,7.4,50,Andrew Creer,"['tt5164196', 'tt5482406', 'tt6262764', 'tt4716164']",4
11981,tt6893214,The Day I Met Her,2017,"Comedy,Romance,Sci-Fi",actor,8.1,7,Bennett Duckworth,"['tt6893214', 'tt3668202', 'tt2563162']",3
11982,tt6897150,Rock Rubber 45s,2018,Documentary,actor,8.0,13,Luis Da Silva Jr.,"['tt1596343', 'tt1232829', 'tt0476964', 'tt2986840']",4
11983,tt6913400,Thicker Than Blood,2017,Drama,actor,8.4,9,Kareem L. Alston,"['tt5326708', 'tt9506316', 'tt9208222', 'tt7118590']",4
11984,tt5995012,Killer: Number 7,2016,Action,actor,7.0,5,Cuong Quoc,"['tt7294644', 'tt5446460', 'tt5759472', 'tt5995012']",4
11985,tt6043142,Skin,2018,"Biography,Drama",actor,6.7,657,Jamie Bell,"['tt0489099', 'tt0249462', 'tt1502712', 'tt2382009']",4
11986,tt6054874,Legend of Kolovrat,2017,"Action,History",actor,6.3,2095,Ilya Malakov,"['tt9228698', 'tt6054874']",2
11987,tt6060208,Flock of Four,2017,"Adventure,Comedy,Drama",actor,7.1,61,Braeden Lemasters,"['tt5881326', 'tt6599482', 'tt6060208', 'tt2879552']",4
11988,tt6086876,The Goblin,2017,"Fantasy,Horror,Thriller",actor,5.0,39,Robert Levey II,"['tt6086876', 'tt7032952', 'tt7003950', 'tt7065712']",4
11989,tt6091496,Safar,2016,"Adventure,Drama",actor,8.4,13,Manan Sapkota,['tt6091496'],1
11990,tt6128738,Dead Wedding,2016,Horror,actor,5.6,14,Daniel Baldock,"['tt2345481', 'tt1405406', 'tt4354880', 'tt2615874']",4
11991,tt6150962,Song of Back and Neck,2018,"Comedy,Romance",actor,6.1,128,Paul Lieberstein,"['tt0386676', 'tt0118375', 'tt0840149', 'tt6150962']",4
11992,tt6183104,Canal Street,2018,"Drama,Thriller",actor,7.1,77,Lance Reddick,"['tt2334879', 'tt2911666', 'tt1075747', 'tt4425200']",4
11993,tt6202264,Boseefus: The Movie,2016,Comedy,actor,7.4,8,Daniel Choi,['tt6202264'],1
11994,tt6258256,6 Feet Below Hell,2017,Action,actor,4.6,58,Frank Cannon,"['tt4206804', 'tt0944947', 'tt1212428', 'tt2303687']",4
11995,tt6338476,Lost in London,2017,"Comedy,Drama",actor,6.3,2016,Daniel Radcliffe,"['tt1528071', 'tt0926084', 'tt1201607', 'tt4034354']",4
11996,tt6395628,Firebringer,2016,"Comedy,History,Musical",actress,8.3,172,Lauren Lopez,"['tt4459758', 'tt6395628', 'tt3033536', 'tt2033193']",4
11997,tt6403440,The Lies We Tell But the Secrets We Keep Part 1,2011,Drama,actor,8.9,17,Shavar D. Clark,"['tt1753788', 'tt3435526', 'tt6403440', 'tt2858066']",4
11998,tt6436402,Tales from the Vault,2017,Horror,actor,3.5,11,Luke Banham,"['tt1882079', 'tt2360980', 'tt5706996', 'tt3479192']",4
11999,tt6439368,Maximum Achievement: The Brian Tracy Story,2017,Documentary,actor,8.6,9,Richard Tyler,"['tt6523594', 'tt6439368', 'tt9505954', 'tt7023276']",4
12000,tt6949172,Bully,2017,"Drama,Musical",actor,7.9,9,M.E. Frazier Jr.,['tt6949172'],1
12001,tt6984230,The Serpent,2018,Action,actor,7.1,18,Travis Aaron Wade,"['tt2376218', 'tt0407304', 'tt0368479', 'tt0460681']",4
12002,tt7010348,Tell 'Em Steve-Dave: Live at the Gramercy Theatre,2017,Comedy,actor,7.7,6,Git 'em Steve Dave,"['tt6422706', 'tt7010348', 'tt8345414', 'tt2629688']",4
12003,tt7131194,Granny Shot,2018,Comedy,actor,8.6,9,Tyler Burke,"['tt6724040', 'tt7131194', 'tt5688284', 'tt5684374']",4
12004,tt7139382,Unveiling Jerusalem,2017,Documentary,actor,8.1,454,Mordechai Kedar,"['tt4793594', 'tt4241144', 'tt7139382', 'tt3706460']",4
12005,tt7177250,Cowboy & Indiana,2018,Drama,actor,6.3,107,Rif Hutton,"['tt1877832', 'tt0139809', 'tt2649554', 'tt0111280']",4
12006,tt7242700,First in Human,2017,Documentary,actor,8.7,47,Jim Parsons,"['tt2224026', 'tt1684226', 'tt4846340', 'tt0898266']",4
12007,tt7243468,How the Wrong Brothers Saved Christmas,2016,Comedy,actor,1.8,24,Joseph Michael Harris,"['tt6853694', 'tt5481984', 'tt5574078']",3
12008,tt7275528,Kung Fu Masters,2017,Animation,actor,5.3,15,Ben Bostick,"['tt7612748', 'tt1049403', 'tt1299649', 'tt0790813']",4
12009,tt7291268,Gaga: Five Foot Two,2017,"Documentary,Music",actor,7.1,9887,Michael Bearden,"['tt1477715', 'tt1517451', 'tt5447518', 'tt8667828']",4
12010,tt7319064,Killer Kate!,2018,"Comedy,Horror,Thriller",actress,3.7,245,Alexandra Feld,"['tt7319064', 'tt3166406', 'tt3910044', 'tt6574272']",4
12011,tt7334352,The Secret Garden,2017,Family,actor,5.6,40,Michael Vaughn,['tt7334352'],1
12012,tt7374964,Enjoy Your Trip to Hell,2017,Sci-Fi,actor,7.1,18,Julian Lazare,"['tt9426170', 'tt7374964', 'tt5979596', 'tt7280790']",4
12013,tt7385524,The Banished,2019,"Drama,Horror,Thriller",actor,4.2,28,Tigre Haller,['tt7385524'],1
12014,tt7543072,Love Shot,2018,"Comedy,Crime,Romance",actor,6.3,81,Dakota Loesch,"['tt6391696', 'tt4644490', 'tt7543072', 'tt7130378']",4
12015,tt7546024,Camp Blood 7,2017,"Action,Horror,Thriller",actor,2.9,93,Kyle Rappaport,"['tt9425000', 'tt6145678', 'tt7941316', 'tt3039472']",4
12016,tt7583968,Night Howl,2017,Horror,actor,2.8,119,Nathaniel Stewart,"['tt4528156', 'tt4986744', 'tt5768204', 'tt4986758']",4
12017,tt4528156,Fun Time,2015,"Comedy,Horror",actor,6.0,31,Nathaniel Stewart,"['tt4528156', 'tt4986744', 'tt5768204', 'tt4986758']",4
12018,tt3451330,Remission,2014,"Drama,Horror",actor,4.9,25,Eric Moyer,"['tt7008310', 'tt3451330', 'tt8141332', 'tt6875006']",4
12019,tt3467954,The Force Within Us,2013,"Biography,Documentary,History",actor,7.5,20,Robert Watts,"['tt0076759', 'tt0080684', 'tt0096438', 'tt0082971']",4
12020,tt3476548,King Lear,2017,Drama,actor,8.2,19,Peter Holdway,"['tt5763652', 'tt0765458', 'tt3476548', 'tt0084987']",4
12021,tt3484860,"The 25,000 Mile Love Story",2013,Documentary,actor,7.1,8,Serge Roetheli,"['tt1454739', 'tt3484860', 'tt1413513']",3
12022,tt3496048,Below Dreams,2014,"Adventure,Drama,Music",actor,6.2,17,Elliott Ehlers,"['tt3496048', 'tt1339093', 'tt1844624', 'tt1326242']",4
12023,tt3562532,Fat Legs,2015,"Comedy,Drama,Romance",actor,7.0,37,Julien Bravo,"['tt3562532', 'tt0166927', 'tt0423713', 'tt4232286']",4
12024,tt3600468,Ghost Story Chronicles,2013,Adventure,actor,9.2,5,Jackson Drake Fordyce,"['tt3417316', 'tt3600468']",2
12025,tt3618276,Pershing's Last Patriot,2013,"Biography,Documentary,History",actor,8.9,10,David Dejonge,['tt3618276'],1
12026,tt3629024,Demons,2014,"Horror,Mystery",actor,4.1,43,Drew Stewart,"['tt5133062', 'tt2279740', 'tt1533758', 'tt2281886']",4
12027,tt3639656,Stranger in the House,2015,"Horror,Mystery,Thriller",actor,4.5,205,Dennis Boutsikaris,"['tt0092494', 'tt1586680', 'tt3032476', 'tt1194173']",4
12028,tt3654396,Murder Junkie,2014,"Crime,Drama,Fantasy",actor,6.7,7,Brennan Villados,"['tt1996259', 'tt2837278', 'tt3654396', 'tt3993670']",4
12029,tt3658010,The Chosen One,2015,Drama,actor,6.9,202,FDAEJI,"['tt2248608', 'tt7317256', 'tt3102906', 'tt8061326']",4
