,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
217,The Artist,Wein.,44700000.0,88800000.0,2011,en,10.155,2011-10-14,7.4,1787,16000000,133500000.0,117500000.0,700.0
218,Unknown,WB,63700000.0,67099999.0,2011,en,12.08,2011-02-18,6.6,2043,40000000,130799999.0,90799999.0,200.0
219,The Adjustment Bureau,Uni.,62500000.0,65400000.0,2011,en,13.717,2011-03-04,6.6,2615,50200000,127900000.0,77700000.0,100.0
220,We Bought a Zoo,Fox,75600000.0,44500000.0,2011,en,9.931000000000001,2011-12-23,6.7,1523,50000000,120100000.0,70100000.0,100.0
221,Water for Elephants,Fox,58700000.0,58400000.0,2011,en,6.209,2011-04-22,6.9,1627,38000000,117100000.0,79100000.0,200.0
222,The Iron Lady,Wein.,30000000.0,84900000.0,2011,en,8.987,2011-12-30,6.4,899,14000000,114900000.0,100900000.0,700.0
223,Moneyball,Sony,75600000.0,34600000.0,2011,en,15.392999999999999,2011-09-22,7.1,2255,50000000,110200000.0,60200000.0,100.0
224,Sanctum,Uni.,23200000.0,85400000.0,2011,en,7.457000000000001,2011-02-04,5.9,515,30000000,108600000.0,78600000.0,200.0
225,Justin Bieber: Never Say Never,Par.,73000000.0,26000000.0,2011,en,8.602,2011-02-11,5.1,240,13000000,99000000.0,86000000.0,600.0
226,Paul,Uni.,37400000.0,60600000.0,2011,en,15.234000000000002,2011-03-17,6.5,3017,40000000,98000000.0,58000000.0,100.0
227,Scream 4,W/Dim.,38200000.0,59000000.0,2011,en,16.082,2011-04-11,6.2,1610,40000000,97200000.0,57200000.0,100.0
228,Insidious,FD,54000000.0,43000000.0,2011,en,16.197,2011-04-01,6.9,3582,1500000,97000000.0,95500000.0,6300.0
229,The Rite,WB (NL),33000000.0,63000000.0,2011,en,9.676,2011-01-28,5.9,994,37000000,96000000.0,59000000.0,100.0
230,Dolphin Tale,WB,72300000.0,23100000.0,2011,en,10.679,2011-09-23,6.8,327,37000000,95400000.0,58400000.0,100.0
231,Season of the Witch,Rela.,24800000.0,66800000.0,2011,en,12.535,2011-01-07,5.3,1352,40000000,91600000.0,51600000.0,100.0
232,Sucker Punch,WB,36400000.0,53400000.0,2011,en,14.415999999999999,2011-03-25,6.0,2716,75000000,89800000.0,14800000.0,0.0
233,Red Riding Hood,WB,37700000.0,51500000.0,2011,en,11.856,2011-03-11,5.9,1884,42000000,89200000.0,47200000.0,100.0
234,Spy Kids: All the Time in the World,W/Dim.,38500000.0,47000000.0,2011,en,10.009,2011-08-19,4.6,487,27000000,85500000.0,58500000.0,200.0
235,J. Edgar,WB,37300000.0,47600000.0,2011,en,8.628,2011-11-09,6.2,1303,35000000,84900000.0,49900000.0,100.0
236,Hall Pass,WB (NL),45100000.0,38100000.0,2011,en,9.984,2011-02-25,5.5,1009,68000000,83200000.0,15200000.0,0.0
237,"Big Mommas: Like Father, Like Son",Fox,37900000.0,44800000.0,2011,en,16.024,2011-02-18,5.5,623,32000000,82700000.0,50700000.0,100.0
238,Abduction,LGF,28100000.0,54000000.0,2011,en,17.69,2011-09-23,5.8,1791,35000000,82100000.0,47100000.0,100.0
239,Priest,SGem,29100000.0,49200000.0,2011,en,15.318,2011-05-13,5.5,1157,60000000,78300000.0,18300000.0,0.0
240,The Mechanic,CBS,29100000.0,47000000.0,2011,en,14.387,2011-01-28,6.3,1676,42500000,76100000.0,33600000.0,0.0
241,The Ides of March,Sony,41000000.0,35000000.0,2011,en,10.127,2011-10-07,6.7,1405,23000000,76000000.0,53000000.0,200.0
242,The Change-Up,Uni.,37100000.0,38400000.0,2011,en,12.122,2011-08-05,6.0,1406,52000000,75500000.0,23500000.0,0.0
243,The Lincoln Lawyer,LGF,58000000.0,17000000.0,2011,en,11.812000000000001,2011-03-18,7.1,1525,40000000,75000000.0,35000000.0,0.0
244,Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000.0,19700000.0,2011,en,8.961,2011-03-25,6.4,492,18000000,72400000.0,54400000.0,300.0
245,Larry Crowne,Uni.,35600000.0,36400000.0,2011,en,7.261,2011-06-30,5.8,676,30000000,72000000.0,42000000.0,100.0
246,The Dilemma,Uni.,48500000.0,21200000.0,2011,en,9.517999999999999,2011-01-13,5.3,448,70000000,69700000.0,-300000.0,-100.0
247,The Darkest Hour,Sum.,21400000.0,43200000.0,2011,en,10.73,2011-12-25,4.9,735,34800000,64600000.0,29800000.0,0.0
248,Hanna,Focus,40300000.0,23500000.0,2011,en,9.709,2011-04-08,6.6,1944,30000000,63800000.0,33800000.0,100.0
249,Colombiana,TriS,36700000.0,24300000.0,2011,en,10.584000000000001,2011-08-26,6.5,1371,40000000,61000000.0,21000000.0,0.0
250,Something Borrowed,WB,39000000.0,21100000.0,2011,en,7.567,2011-05-05,6.1,591,35000000,60100000.0,25100000.0,0.0
251,One Day,Focus,13800000.0,45500000.0,2011,en,10.308,2011-08-19,7.2,2105,15000000,59300000.0,44300000.0,200.0
252,Killer Elite,ORF,25100000.0,31300000.0,2011,en,15.135,2011-09-23,6.2,1093,70000000,56400000.0,-13600000.0,-100.0
253,The Tree of Life,FoxS,13300000.0,41000000.0,2011,en,11.569,2011-05-27,6.6,1730,35000000,54300000.0,19300000.0,0.0
254,Winnie the Pooh,BV,26700000.0,23200000.0,2011,en,11.147,2011-07-14,6.9,444,30000000,49900000.0,19900000.0,0.0
255,Soul Surfer,TriS,43900000.0,3200000.0,2011,en,8.459,2011-04-08,7.0,688,18000000,47100000.0,29100000.0,100.0
256,The Debt,Focus,31200000.0,14500000.0,2011,en,12.697000000000001,2011-08-31,6.6,403,20000000,45700000.0,25700000.0,100.0
257,Beastly,CBS,27900000.0,15300000.0,2011,en,10.136000000000001,2011-03-04,6.1,1748,17000000,43200000.0,26200000.0,100.0
258,30 Minutes or Less,Sony,37100000.0,3500000.0,2011,en,11.315,2011-08-12,5.6,825,28000000,40600000.0,12600000.0,0.0
259,The Roommate,SGem,37300000.0,3200000.0,2011,en,8.134,2011-02-04,5.4,406,16000000,40500000.0,24500000.0,100.0
260,Shark Night 3D,Rela.,18900000.0,21300000.0,2011,en,7.879,2011-09-02,5.0,245,25000000,40200000.0,15200000.0,0.0
261,Monte Carlo,Fox,23200000.0,16500000.0,2011,en,11.017000000000001,2011-07-01,6.2,1193,20000000,39700000.0,19700000.0,0.0
262,50/50,Sum.,35000000.0,4200000.0,2011,en,12.450999999999999,2011-09-30,7.1,2111,8000000,39200000.0,31200000.0,300.0
263,Mars Needs Moms,BV,21400000.0,17600000.0,2011,en,8.852,2011-03-11,5.7,299,150000000,39000000.0,-111000000.0,-100.0
264,Dream House,Uni.,21300000.0,17200000.0,2011,en,9.047,2011-09-30,6.0,670,50000000,38500000.0,-11500000.0,-100.0
265,Jumping the Broom,TriS,37300000.0,415000.0,2011,en,8.477,2011-05-06,6.0,103,7000000,37715000.0,30715000.0,400.0
266,Don't Be Afraid of the Dark,FD,24000000.0,12900000.0,2011,en,8.405,2010-11-06,5.5,550,25000000,36900000.0,11900000.0,0.0
267,My Week with Marilyn,Wein.,14600000.0,20500000.0,2011,en,12.081,2011-11-23,6.7,741,10000000,35100000.0,25100000.0,200.0
268,The Sitter,Fox,30400000.0,4500000.0,2011,en,11.571,2011-12-09,5.4,472,25000000,34900000.0,9900000.0,0.0
270,I Don't Know How She Does It,Wein.,9700000.0,20900000.0,2011,en,8.271,2011-09-16,5.2,231,24000000,30600000.0,6600000.0,0.0
271,What's Your Number?,Fox,14000000.0,16399999.0,2011,en,10.390999999999998,2011-09-30,6.4,1271,20000000,30399999.0,10399999.0,0.0
272,Drive Angry,Sum.,10700000.0,18200000.0,2011,en,14.095999999999998,2011-02-24,5.3,959,50000000,28900000.0,-21100000.0,-100.0
273,A Dangerous Method,SPC,5700000.0,21800000.0,2011,en,10.352,2011-11-23,6.3,1066,20000000,27500000.0,7500000.0,0.0
274,The Eagle,Focus,19500000.0,7600000.0,2011,en,8.443,2011-02-11,6.1,694,25000000,27100000.0,2100000.0,0.0
275,Apollo 18,W/Dim.,17700000.0,7900000.0,2011,en,8.384,2011-09-02,5.0,486,5000000,25600000.0,20600000.0,400.0
276,Biutiful,RAtt.,5100000.0,20000000.0,2011,es,7.697,2010-12-28,7.2,546,35000000,25100000.0,-9900000.0,-100.0
277,Your Highness,Uni.,21600000.0,3300000.0,2011,en,0.6,2010-01-01,3.0,4,50000000,24900000.0,-25100000.0,-100.0
280,The Rum Diary,FD,13100000.0,10800000.0,2011,en,12.011,2011-10-27,5.7,652,45000000,23900000.0,-21100000.0,-100.0
281,Warrior,LGF,13700000.0,9400000.0,2011,en,15.478,2011-09-09,7.8,2189,25000000,23100000.0,-1900000.0,-100.0
282,Young Adult,Par.,16300000.0,6600000.0,2011,en,8.335,2011-12-16,5.7,603,12000000,22900000.0,10900000.0,0.0
283,The Guard,SPC,5400000.0,14200000.0,2011,en,10.177,2011-07-29,6.9,563,6000000,19600000.0,13600000.0,200.0
284,Margin Call,RAtt.,5400000.0,14200000.0,2011,en,9.498,2011-10-21,6.8,856,3400000,19600000.0,16200000.0,400.0
285,Shame,FoxS,3900000.0,13800000.0,2011,en,13.152000000000001,2011-12-02,7.0,1607,6500000,17700000.0,11200000.0,100.0
288,The Last Godfather,RAtt.,164000.0,16600000.0,2011,ko,1.4,2011-04-11,4.9,9,13400000,16764000.0,3364000.0,0.0
289,Melancholia,Magn.,3000000.0,12900000.0,2011,da,11.123,2011-11-11,7.1,1642,9400000,15900000.0,6500000.0,0.0
290,The Conspirator,RAtt.,11500000.0,3900000.0,2011,en,6.492999999999999,2011-04-15,6.5,226,25000000,15400000.0,-9600000.0,-100.0
291,Anonymous,Sony,4500000.0,10900000.0,2011,en,8.113999999999999,2011-10-28,6.4,434,27500000,15400000.0,-12100000.0,-100.0
292,Beginners,Focus,5800000.0,8500000.0,2011,en,10.322000000000001,2011-06-17,6.9,532,3200000,14300000.0,11100000.0,300.0
293,Snow Flower and the Secret Fan,FoxS,1300000.0,10000000.0,2011,en,4.519,2011-07-15,5.9,39,6000000,11300000.0,5300000.0,0.0
294,Le Havre,Jan.,612000.0,9900000.0,2011,fr,5.973,2011-10-21,6.9,169,5500000,10512000.0,5012000.0,0.0
296,The Big Year,Fox,7200000.0,244000.0,2011,en,7.077000000000001,2011-10-14,5.8,393,41000000,7444000.0,-33556000.0,-100.0
297,The Beaver,Sum.,971000.0,6300000.0,2011,en,7.357,2011-05-05,6.3,464,21000000,7271000.0,-13729000.0,-100.0
300,We Need to Talk About Kevin,Osci.,1700000.0,4300000.0,2011,en,11.964,2011-12-09,7.6,1306,7000000,6000000.0,-1000000.0,-100.0
302,Attack the Block,SGem,1000000.0,4800000.0,2011,en,9.612,2011-07-29,6.4,1144,13000000,5800000.0,-7200000.0,-100.0
303,Dylan Dog: Dead of Night,OMNI/FSR,1200000.0,3400000.0,2011,en,7.507999999999999,2011-11-01,4.4,243,20000000,4600000.0,-15400000.0,-100.0
304,Like Crazy,ParV,3400000.0,336000.0,2011,en,10.091000000000001,2011-10-28,6.5,638,250000,3736000.0,3486000.0,1300.0
305,Martha Marcy May Marlene,FoxS,3000000.0,548000.0,2011,en,9.477,2011-10-21,6.7,413,1000000,3548000.0,2548000.0,200.0
307,Machine Gun Preacher,Rela.,539000.0,2800000.0,2011,en,9.12,2011-09-23,6.5,477,30000000,3339000.0,-26661000.0,-100.0
308,Take Shelter,SPC,1700000.0,1400000.0,2011,en,11.235999999999999,2011-09-30,7.2,787,4750000,3100000.0,-1650000.0,-100.0
310,Brighton Rock,IFC,230000.0,1600000.0,2011,en,4.749,2011-08-26,6.0,57,11000000,1830000.0,-9170000.0,-100.0
311,Another Earth,FoxS,1300000.0,456000.0,2011,en,10.03,2011-07-22,6.7,853,175000,1756000.0,1581000.0,900.0
319,Submarine,Wein.,468000.0,397000.0,2011,en,7.412000000000001,2011-06-03,7.4,770,1900000,865000.0,-1035000.0,-100.0
321,Blackthorn,Magn.,201000.0,423000.0,2011,en,7.547999999999999,2011-10-07,6.7,111,4500000,624000.0,-3876000.0,-100.0
326,The Other Woman,IFC,25400.0,427000.0,2011,en,9.15,2011-02-04,6.2,220,40000000,452400.0,-39547600.0,-100.0
330,Another Happy Day,P4,8500.0,347000.0,2011,en,5.473,2011-11-18,6.1,60,4000000,355500.0,-3644500.0,-100.0
341,Skyfall,Sony,304400000.0,804200000.0,2012,en,19.27,2012-11-09,7.1,10441,200000000,1108600000.0,908600000.0,400.0
342,The Dark Knight Rises,WB,448100000.0,636800000.0,2012,en,26.22,2012-07-20,7.7,13933,275000000,1084900000.0,809900000.0,200.0
343,The Hobbit: An Unexpected Journey,WB (NL),303000000.0,718100000.0,2012,en,26.939,2012-12-14,7.2,12076,250000000,1021100000.0,771100000.0,300.0
344,Ice Age: Continental Drift,Fox,161300000.0,715900000.0,2012,en,17.537,2012-07-13,6.3,4598,95000000,877200000.0,782200000.0,800.0
345,The Amazing Spider-Man,Sony,262000000.0,495900000.0,2012,en,24.391,2012-07-04,6.5,10411,220000000,757900000.0,537900000.0,200.0
346,Madagascar 3: Europe's Most Wanted,P/DW,216400000.0,530500000.0,2012,en,18.705,2012-06-08,6.5,3380,145000000,746900000.0,601900000.0,400.0
347,The Hunger Games,LGF,408000000.0,286400000.0,2012,en,14.212,2012-03-23,7.1,14587,80000000,694400000.0,614400000.0,700.0
348,Life of Pi,Fox,125000000.0,484000000.0,2012,en,15.0,2012-11-21,7.3,8723,120000000,609000000.0,489000000.0,400.0
349,Ted,Uni.,218800000.0,330600000.0,2012,en,14.475,2012-06-29,6.3,7727,50000000,549400000.0,499400000.0,900.0
350,Brave,BV,237300000.0,303200000.0,2012,th,0.6,2010-01-19,5.0,1,185000000,540500000.0,355500000.0,100.0
352,Wreck-It Ralph,BV,189400000.0,281800000.0,2012,en,22.967,2012-11-02,7.3,7780,165000000,471200000.0,306200000.0,100.0
353,Django Unchained,Wein.,162800000.0,262600000.0,2012,en,21.26,2012-12-25,8.0,15725,100000000,425400000.0,325400000.0,300.0
354,Prometheus,Fox,126500000.0,276900000.0,2012,en,24.98,2012-06-08,6.4,7384,125000000,403400000.0,278400000.0,200.0
355,Snow White and the Huntsman,Uni.,155300000.0,241300000.0,2012,en,21.233,2012-06-01,5.9,5258,170000000,396600000.0,226600000.0,100.0
356,Taken 2,Fox,139900000.0,236300000.0,2012,en,16.078,2012-10-04,6.2,4035,45000000,376200000.0,331200000.0,700.0
357,Hotel Transylvania,Sony,148300000.0,210100000.0,2012,en,15.318,2012-09-28,6.9,5013,85000000,358400000.0,273400000.0,300.0
358,Journey 2: The Mysterious Island,WB (NL),103900000.0,231400000.0,2012,en,14.454,2012-02-10,5.9,2152,79000000,335300000.0,256300000.0,300.0
359,The Expendables 2,LGF,85000000.0,229900000.0,2012,en,17.215999999999998,2012-08-17,6.2,4219,100000000,314900000.0,214900000.0,200.0
360,Rise of the Guardians,P/DW,103400000.0,203500000.0,2012,en,14.934000000000001,2012-11-21,7.3,3697,145000000,306900000.0,161900000.0,100.0
361,Wrath of the Titans,WB,83700000.0,221600000.0,2012,en,14.991,2012-03-29,5.6,2442,150000000,305300000.0,155300000.0,100.0
362,Battleship,Uni.,65400000.0,237600000.0,2012,en,21.741999999999997,2012-05-18,5.6,3240,220000000,303000000.0,83000000.0,0.0
363,John Carter,BV,73100000.0,211100000.0,2012,en,18.549,2012-03-09,6.1,3338,275000000,284200000.0,9200000.0,0.0
364,The Bourne Legacy,Uni.,113200000.0,162900000.0,2012,en,18.05,2012-08-10,6.1,3630,125000000,276100000.0,151100000.0,100.0
365,Lincoln,BV,182200000.0,93100000.0,2012,en,12.693,2012-11-16,6.8,2261,65000000,275300000.0,210300000.0,300.0
366,Dark Shadows,WB,79700000.0,165800000.0,2012,en,15.75,2012-05-11,5.9,4197,150000000,245500000.0,95500000.0,0.0
367,Resident Evil: Retribution,SGem,42300000.0,197700000.0,2012,en,1.325,2012-09-14,5.7,2321,65000000,240000000.0,175000000.0,200.0
368,Silver Linings Playbook,Wein.,132100000.0,104300000.0,2012,en,15.350999999999999,2012-12-25,7.1,7636,21000000,236400000.0,215400000.0,1000.0
369,American Reunion,Uni.,57000000.0,178000000.0,2012,en,17.199,2012-04-06,6.2,2679,50000000,235000000.0,185000000.0,300.0
370,Argo,WB,136000000.0,96300000.0,2012,en,15.793,2012-10-12,7.2,5127,44500000,232300000.0,187800000.0,400.0
371,Jack Reacher,Par.,80100000.0,138300000.0,2012,en,18.312,2012-12-21,6.4,4155,60000000,218400000.0,158400000.0,200.0
372,Safe House,Uni.,126400000.0,81700000.0,2012,en,13.116,2012-02-10,6.4,1997,85000000,208100000.0,123100000.0,100.0
373,21 Jump Street,Sony,138400000.0,63100000.0,2012,en,14.835999999999999,2012-03-12,6.8,6527,42000000,201500000.0,159500000.0,300.0
374,The Vow,SGem,125000000.0,71100000.0,2012,en,13.046,2012-02-10,7.1,2409,30000000,196100000.0,166100000.0,500.0
375,Mirror Mirror,Rela.,64900000.0,118100000.0,2012,en,13.220999999999998,2012-03-30,5.8,2099,85000000,183000000.0,98000000.0,100.0
376,The Impossible,LG/S,19000000.0,161300000.0,2012,en,14.66,2012-12-04,7.2,3614,40000000,180300000.0,140300000.0,300.0
377,The Dictator,Par.,59700000.0,119700000.0,2012,en,12.592,2012-05-16,6.0,3042,65000000,179400000.0,114400000.0,100.0
378,Looper,TriS,66500000.0,110000000.0,2012,en,16.779,2012-09-28,6.8,6723,30000000,176500000.0,146500000.0,400.0
379,Magic Mike,WB,113700000.0,53500000.0,2012,en,13.7,2012-06-29,6.1,1850,7000000,167200000.0,160200000.0,2200.0
380,Flight,Par.,93800000.0,68000000.0,2012,en,11.692,2012-11-02,6.7,3582,31000000,161800000.0,130800000.0,400.0
381,This Means War,Fox,54800000.0,101700000.0,2012,en,12.017000000000001,2012-02-17,6.0,2096,65000000,156500000.0,91500000.0,100.0
382,Paranormal Activity 4,Par.,53900000.0,88900000.0,2012,en,8.965,2012-10-19,5.4,1026,5000000,142800000.0,137800000.0,2700.0
383,Step Up Revolution,LG/S,35100000.0,105400000.0,2012,en,10.925,2012-07-27,6.8,1252,33000000,140500000.0,107500000.0,300.0
384,The Best Exotic Marigold Hotel,FoxS,46400000.0,90400000.0,2012,en,8.665,2012-05-25,6.9,756,10000000,136800000.0,126800000.0,1200.0
385,Zero Dark Thirty,Sony,95700000.0,37100000.0,2012,en,14.239,2012-12-19,6.9,2553,52500000,132800000.0,80300000.0,100.0
386,Ghost Rider: Spirit of Vengeance,Sony,51800000.0,80800000.0,2012,en,18.678,2011-12-10,4.8,2039,57000000,132600000.0,75600000.0,100.0
387,Cloud Atlas,WB,27100000.0,103400000.0,2012,en,14.681,2012-10-26,6.8,4505,102000000,130500000.0,28500000.0,0.0
388,The Woman in Black,CBS,54300000.0,73400000.0,2012,en,12.780999999999999,2012-02-03,6.1,2122,15000000,127700000.0,112700000.0,700.0
389,Parental Guidance,Fox,77300000.0,42500000.0,2012,en,10.124,2012-12-25,5.8,276,25000000,119800000.0,94800000.0,300.0
390,Abraham Lincoln: Vampire Hunter,Fox,37500000.0,79000000.0,2012,en,12.498,2012-06-22,5.6,2009,67500000,116500000.0,49000000.0,0.0
391,Pitch Perfect,Uni.,65000000.0,50300000.0,2012,en,13.886,2012-09-28,7.3,4233,17000000,115300000.0,98300000.0,500.0
392,Hope Springs,Sony,63500000.0,50700000.0,2012,en,8.312999999999999,2012-08-07,6.1,429,30000000,114200000.0,84200000.0,200.0
393,ParaNorman,Focus,56000000.0,51100000.0,2012,en,13.32,2012-08-17,6.8,1358,60000000,107100000.0,47100000.0,0.0
394,The Campaign,WB,86900000.0,18000000.0,2012,en,10.265999999999998,2012-08-10,5.7,982,95000000,104900000.0,9900000.0,0.0
395,Project X,WB,54700000.0,48000000.0,2012,en,9.715,2012-03-02,6.4,2968,12000000,102700000.0,90700000.0,700.0
397,The Devil Inside,Par.,53300000.0,48500000.0,2012,en,7.403,2012-01-06,4.7,441,1000000,101800000.0,100800000.0,10000.0
398,The Lucky One,WB,60500000.0,38900000.0,2012,en,13.14,2012-04-20,6.9,2012,25000000,99400000.0,74400000.0,200.0
399,Contraband,Uni.,66500000.0,29700000.0,2012,en,12.357000000000001,2012-01-13,6.2,1114,25000000,96200000.0,71200000.0,200.0
400,Think Like a Man,SGem,91500000.0,4500000.0,2012,en,5.905,2012-04-20,6.9,438,12000000,96000000.0,84000000.0,700.0
401,The Possession,LGF,49100000.0,36300000.0,2012,en,8.978,2012-08-31,5.9,918,14000000,85400000.0,71400000.0,500.0
402,What to Expect When You're Expecting,LGF,41200000.0,43200000.0,2012,en,12.27,2012-05-18,5.9,1130,37500000,84400000.0,46900000.0,100.0
403,Frankenweenie,BV,35300000.0,46200000.0,2012,en,14.627,2012-10-05,6.8,1685,39000000,81500000.0,42500000.0,100.0
404,Act of Valor,Rela.,70000000.0,11300000.0,2012,en,12.197000000000001,2012-02-24,6.3,583,12000000,81300000.0,69300000.0,500.0
405,Sinister,LG/S,48100000.0,29600000.0,2012,en,0.6,2011-05-03,3.8,8,3000000,77700000.0,74700000.0,2400.0
407,The Grey,ORF,51600000.0,25700000.0,2012,en,12.942,2012-01-27,6.5,2280,25000000,77300000.0,52300000.0,200.0
409,Diary of a Wimpy Kid: Dog Days,Fox,49000000.0,28100000.0,2012,en,11.36,2012-08-03,6.2,440,22000000,77100000.0,55100000.0,200.0
410,To Rome with Love,SPC,16700000.0,56600000.0,2012,en,9.562999999999999,2012-06-22,5.7,1097,21500000,73300000.0,51800000.0,200.0
411,Here Comes the Boom,Sony,45300000.0,27800000.0,2012,en,10.265,2012-10-12,6.0,812,42000000,73100000.0,31100000.0,0.0
412,Anna Karenina,Focus,12800000.0,56100000.0,2012,en,9.987,2012-11-16,6.7,1265,49000000,68900000.0,19900000.0,0.0
413,The Watch,Fox,35400000.0,32900000.0,2012,en,10.228,2012-07-27,5.4,1356,55000000,68300000.0,13300000.0,0.0
414,Moonrise Kingdom,Focus,45500000.0,22800000.0,2012,en,14.085999999999999,2012-05-25,7.7,3023,16000000,68300000.0,52300000.0,300.0
415,The Cabin in the Woods,LGF,42100000.0,24400000.0,2012,en,15.335999999999999,2012-04-12,6.5,4185,30000000,66500000.0,36500000.0,100.0
417,Rock of Ages,WB (NL),38500000.0,20900000.0,2012,en,11.369000000000002,2012-06-15,6.1,686,70000000,59400000.0,-10600000.0,-100.0
418,That's My Boy,Sony,36900000.0,20800000.0,2012,en,12.817,2012-06-15,5.5,831,57500000,57700000.0,200000.0,0.0
419,The Odd Life of Timothy Green,BV,51900000.0,4200000.0,2012,en,9.216000000000001,2012-08-15,6.7,605,40000000,56100000.0,16100000.0,0.0
420,The Three Stooges,Fox,44300000.0,10500000.0,2012,en,9.357999999999999,2012-04-13,5.1,215,30000000,54800000.0,24800000.0,0.0
421,The Five-Year Engagement,Uni.,28800000.0,25100000.0,2012,en,10.729000000000001,2012-04-27,5.8,742,30000000,53900000.0,23900000.0,0.0
422,Lawless,Wein.,37400000.0,16300000.0,2012,en,12.147,2012-08-29,7.0,1660,26000000,53700000.0,27700000.0,100.0
423,Silent Hill: Revelation 3D,ORF,17500000.0,34800000.0,2012,en,13.681,2012-10-26,5.2,786,20000000,52300000.0,32300000.0,100.0
424,Red Tails,Fox,49900000.0,489000.0,2012,en,10.247,2012-01-11,6.0,256,58000000,50389000.0,-7611000.0,-100.0
425,Trouble with the Curve,WB,35800000.0,13200000.0,2012,en,8.548,2012-09-21,6.7,613,60000000,49000000.0,-11000000.0,-100.0
426,End of Watch,ORF,41000000.0,7100000.0,2012,en,13.152000000000001,2012-09-21,7.3,1770,15000000,48100000.0,33100000.0,200.0
427,Man on a Ledge,LG/S,18600000.0,27600000.0,2012,en,11.263,2012-01-27,6.3,1460,42000000,46200000.0,4200000.0,0.0
428,The Guilt Trip,Par.,37100000.0,4700000.0,2012,en,8.939,2012-12-19,5.4,403,40000000,41800000.0,1800000.0,0.0
429,Killing Them Softly,Wein.,15000000.0,22900000.0,2012,en,11.298,2012-11-30,6.0,1105,15000000,37900000.0,22900000.0,100.0
430,Chernobyl Diaries,WB,18100000.0,19000000.0,2012,en,14.658,2012-05-25,5.0,842,1000000,37100000.0,36100000.0,3600.0
431,Dredd,LGF,13400000.0,22200000.0,2012,en,13.222999999999999,2012-09-21,6.7,2788,45000000,35600000.0,-9400000.0,-100.0
432,Arbitrage,RAtt.,7900000.0,27600000.0,2012,en,12.14,2012-09-14,6.2,459,12000000,35500000.0,23500000.0,100.0
433,Alex Cross,LG/S,25900000.0,8700000.0,2012,en,9.962,2012-10-18,5.1,424,35000000,34600000.0,-400000.0,-100.0
434,The Perks of Being a Wallflower,LG/S,17700000.0,15600000.0,2012,en,15.148,2012-09-21,7.8,5938,13000000,33300000.0,20300000.0,100.0
435,Haywire,Rela.,18900000.0,14400000.0,2012,en,10.015,2011-11-06,5.6,747,23000000,33300000.0,10300000.0,0.0
436,Katy Perry: Part of Me,Par.,25300000.0,7400000.0,2012,en,7.138999999999999,2012-07-05,6.8,147,12000000,32700000.0,20700000.0,100.0
437,Lockout,FD,14300000.0,17900000.0,2012,en,11.273,2012-04-13,5.9,1004,20000000,32200000.0,12200000.0,0.0
438,Joyful Noise,WB,30900000.0,226000.0,2012,en,6.787000000000001,2012-01-13,6.4,70,27500000,31126000.0,3626000.0,0.0
439,Premium Rush,Sony,20300000.0,10800000.0,2012,en,12.484000000000002,2012-08-24,6.2,1244,35000000,31100000.0,-3900000.0,-100.0
440,The Raven,Rela.,16000000.0,13600000.0,2012,en,0.6,2010-04-20,5.9,5,26000000,29600000.0,3600000.0,0.0
442,The Master,Wein.,16399999.0,11900000.0,2012,en,12.829,2012-09-14,7.1,1323,37500000,28299999.0,-9200001.0,-100.0
444,Big Miracle,Uni.,20200000.0,4600000.0,2012,en,6.76,2012-02-03,6.6,250,40000000,24800000.0,-15200000.0,-100.0
445,A Thousand Words,P/DW,18500000.0,3600000.0,2012,en,8.017000000000001,2012-03-08,6.1,685,40000000,22100000.0,-17900000.0,-100.0
446,Wanderlust,Uni.,17500000.0,4200000.0,2012,en,9.896,2012-02-24,5.4,693,32500000,21700000.0,-10800000.0,-100.0
447,Beasts of the Southern Wild,FoxS,12800000.0,8300000.0,2012,en,7.53,2012-06-29,6.9,605,1800000,21100000.0,19300000.0,1000.0
448,Polisse,IFC,211000.0,20200000.0,2012,fr,7.682,2011-11-11,7.8,670,8900000,20411000.0,11511000.0,100.0
449,Amour,SPC,6700000.0,13100000.0,2012,fr,10.705,2012-12-19,7.7,746,9700000,19800000.0,10100000.0,100.0
450,The Man with the Iron Fists,Uni.,15600000.0,4099999.0,2012,en,15.457,2012-11-02,5.3,573,15000000,19699999.0,4699999.0,0.0
451,Seven Psychopaths,CBS,15000000.0,4400000.0,2012,en,10.967,2012-10-12,6.8,2109,13500000,19400000.0,5900000.0,0.0
452,The Cold Light of Day,LG/S,3800000.0,13100000.0,2012,en,8.974,2012-09-06,5.1,463,20000000,16900000.0,-3100000.0,-100.0
453,The Words,CBS,11500000.0,1700000.0,2012,en,7.2010000000000005,2012-09-07,6.6,628,6000000,13200000.0,7200000.0,100.0
454,Silent House,ORF,12800000.0,347000.0,2012,en,7.079,2011-01-21,5.2,184,2000000,13147000.0,11147000.0,500.0
456,Bachelorette,RTWC,448000.0,11500000.0,2012,en,7.05,2012-09-06,5.4,755,3000000,11948000.0,8948000.0,200.0
457,Fun Size,Par.,9400000.0,2000000.0,2012,en,7.072,2012-10-26,5.5,249,14000000,11400000.0,-2600000.0,-100.0
