,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
51,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,en,10.544,2010-07-30,4.9,273,85000000,112500000.0,27500000.0,0.0
52,Tooth Fairy,Fox,60000000.0,52400000.0,2010,en,12.65,2010-01-22,5.3,1058,48000000,112400000.0,64400000.0,100.0
53,Hereafter,WB,32700000.0,72500000.0,2010,en,7.886,2010-10-22,5.9,848,50000000,105200000.0,55200000.0,100.0
54,The Girl with the Dragon Tattoo,MBox,10100000.0,94300000.0,2010,en,17.823,2011-12-14,7.3,3971,90000000,104400000.0,14400000.0,0.0
55,Killers,LGF,47100000.0,51100000.0,2010,en,10.221,2010-06-04,5.8,1314,75000000,98200000.0,23200000.0,0.0
56,Kick-Ass,LGF,48100000.0,48100000.0,2010,en,13.08,2010-04-16,7.1,7540,28000000,96200000.0,68200000.0,200.0
57,Green Zone,Uni.,35100000.0,59800000.0,2010,en,11.519,2010-03-11,6.4,1176,100000000,94900000.0,-5100000.0,-100.0
58,Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,en,8.485,2010-06-04,5.9,980,40000000,91300000.0,51300000.0,100.0
59,Burlesque,SGem,39400000.0,50100000.0,2010,en,8.676,2010-11-23,7.1,1195,55000000,89500000.0,34500000.0,0.0
60,The Last Song,BV,63000000.0,26100000.0,2010,en,9.237,2010-03-31,7.2,2199,20000000,89100000.0,69100000.0,300.0
61,Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,en,6.632000000000001,2010-07-30,5.6,920,69000000,86800000.0,17800000.0,0.0
62,Marmaduke,Fox,33600000.0,50100000.0,2010,en,8.487,2010-06-04,5.1,367,50000000,83700000.0,33700000.0,0.0
63,Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,en,11.302,2010-08-20,5.3,1029,24000000,83200000.0,59200000.0,200.0
64,Oceans,BV,19400000.0,63200000.0,2010,en,7.532,2010-04-21,7.2,167,80000000,82600000.0,2600000.0,0.0
65,Edge of Darkness,WB,43300000.0,37800000.0,2010,en,11.252,2010-01-29,6.3,794,60000000,81100000.0,21100000.0,0.0
67,Vampires Suck,Fox,36700000.0,43900000.0,2010,en,8.992,2010-08-18,4.1,658,20000000,80600000.0,60600000.0,300.0
68,Letters to Juliet,Sum.,53000000.0,26100000.0,2010,en,9.394,2010-05-14,6.9,1706,30000000,79100000.0,49100000.0,100.0
69,Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,en,12.255999999999998,2010-03-19,6.0,736,15000000,75700000.0,60700000.0,400.0
70,Easy A,SGem,58400000.0,16600000.0,2010,en,14.69,2010-09-17,6.8,4168,8000000,75000000.0,67000000.0,800.0
71,Takers,SGem,57700000.0,11300000.0,2010,en,8.969,2010-08-26,6.2,605,32000000,69000000.0,37000000.0,100.0
72,The American,Focus,35600000.0,32299999.0,2010,en,9.042,2010-09-01,5.8,690,20000000,67899999.0,47899999.0,200.0
73,The Last Exorcism,LGF,41000000.0,26700000.0,2010,en,9.35,2010-08-27,5.6,519,1800000,67700000.0,65900000.0,3600.0
74,The Next Three Days,LGF,21100000.0,46300000.0,2010,en,11.147,2010-11-19,7.0,1469,30000000,67400000.0,37400000.0,100.0
75,Skyline,Uni.,21400000.0,45400000.0,2010,en,8.847000000000001,2010-11-12,4.8,833,10000000,66800000.0,56800000.0,500.0
76,Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,en,10.15,2010-03-26,6.0,1383,36000000,64600000.0,28600000.0,0.0
77,Devil,Uni.,33600000.0,29100000.0,2010,en,10.203,2010-09-17,5.9,1516,10000000,62700000.0,52700000.0,500.0
